Account Name,Website,Keywords Found,Keyword Count
The ITEX Group - Houston,http://www.itexgrp.com,"construction management, commercial",5
Square Foot Construction,http://www.squarefootconstruction.com,"design-build, commercial",6
South Texas Development & Construction,http://southtexasdnc.com,"construction management, commercial",2
Hallwood Modular Buildings - Dallas,http://hallwoodmodular.com,,0
T.F. Harper & Associates LP,http://tfharper.com,design-build,2
Spartan Construction,http://spartan-const.com,"construction management, design-build, commercial, general contracting",9
